name,code,description,category,price,attributes
Dell XPS 15,DELL-XPS15-001,15.6 inch laptop with Intel Core i7 and OLED display,Laptops,1899.99,"{""CPU"": ""Intel i7-13700H"", ""RAM"": ""16GB"", ""Storage"": ""512GB SSD"", ""Display"": ""15.6 OLED"", ""GPU"": ""NVIDIA RTX 4060""}"
HP Spectre x360,HP-SPEC-X360,Convertible laptop 13.5 inch touchscreen,Laptops,1499.00,"{""CPU"": ""Intel i5-1335U"", ""RAM"": ""16GB"", ""Storage"": ""256GB SSD"", ""Display"": ""13.5 OLED touch""}"
Lenovo ThinkPad X1 Carbon,LEN-X1C-G11,Ultra-thin business laptop 14 inch,Laptops,1749.00,"{""CPU"": ""Intel i7-1365U"", ""RAM"": ""32GB"", ""Storage"": ""1TB SSD"", ""Display"": ""14 IPS""}"
Asus ROG Zephyrus G14,ASUS-ROG-G14,Gaming laptop AMD Ryzen 9,Laptops,1649.00,"{""CPU"": ""AMD Ryzen 9 7940HS"", ""RAM"": ""32GB"", ""Storage"": ""1TB SSD"", ""Display"": ""14 QHD 165Hz"", ""GPU"": ""NVIDIA RTX 4060""}"
Apple MacBook Pro 14,APPLE-MBP14-M3,MacBook Pro with M3 chip,Laptops,2199.00,"{""CPU"": ""Apple M3 Pro"", ""RAM"": ""18GB"", ""Storage"": ""512GB SSD"", ""Display"": ""14.2 Liquid Retina XDR""}"
Microsoft Surface Laptop 5,MS-SL5-13,Slim laptop with touchscreen,Laptops,1299.00,"{""CPU"": ""Intel i5-1245U"", ""RAM"": ""16GB"", ""Storage"": ""512GB SSD"", ""Display"": ""13.5 touch""}"
Acer Predator Helios 300,ACER-PH300,Gaming laptop with RTX 4070,Laptops,1549.00,"{""CPU"": ""Intel i7-13700HX"", ""RAM"": ""16GB"", ""Storage"": ""512GB SSD"", ""Display"": ""15.6 FHD 165Hz"", ""GPU"": ""NVIDIA RTX 4070""}"
Lenovo IdeaPad 5 Pro,LEN-IP5P-16,Creative laptop 16 inch 2.5K display,Laptops,999.00,"{""CPU"": ""AMD Ryzen 7 6800H"", ""RAM"": ""16GB"", ""Storage"": ""512GB SSD"", ""Display"": ""16 2.5K IPS""}"
Dell Inspiron 15,DELL-INS15-3530,Everyday laptop for home and office,Laptops,699.00,"{""CPU"": ""Intel i5-1335U"", ""RAM"": ""8GB"", ""Storage"": ""256GB SSD"", ""Display"": ""15.6 FHD""}"
HP EliteBook 840 G10,HP-EB840-G10,Business laptop with enterprise security,Laptops,1599.00,"{""CPU"": ""Intel i7-1365U"", ""RAM"": ""32GB"", ""Storage"": ""1TB SSD"", ""Display"": ""14 IPS""}"
Asus VivoBook 15,ASUS-VB15-X1502,Thin and light everyday laptop,Laptops,749.00,"{""CPU"": ""Intel i5-1235U"", ""RAM"": ""8GB"", ""Storage"": ""512GB SSD"", ""Display"": ""15.6 FHD OLED""}"
Apple MacBook Air M2,APPLE-MBA-M2,Fanless ultra-thin laptop,Laptops,1299.00,"{""CPU"": ""Apple M2"", ""RAM"": ""8GB"", ""Storage"": ""256GB SSD"", ""Display"": ""13.6 Liquid Retina""}"
Razer Blade 15,RAZ-BL15-2023,Premium gaming laptop,Laptops,2499.00,"{""CPU"": ""Intel i9-13950HX"", ""RAM"": ""32GB"", ""Storage"": ""1TB SSD"", ""Display"": ""15.6 QHD 240Hz"", ""GPU"": ""NVIDIA RTX 4080""}"
MSI Stealth 16,MSI-STL16-AI,AI-powered gaming laptop,Laptops,2299.00,"{""CPU"": ""Intel i9-14900HX"", ""RAM"": ""32GB"", ""Storage"": ""2TB SSD"", ""Display"": ""16 UHD+ OLED"", ""GPU"": ""NVIDIA RTX 4080""}"
Samsung Galaxy Book 3 Pro,SAM-GB3P-16,AMOLED business laptop,Laptops,1799.00,"{""CPU"": ""Intel i7-1360P"", ""RAM"": ""16GB"", ""Storage"": ""512GB SSD"", ""Display"": ""16 AMOLED""}"
Sony WH-1000XM5,SONY-WH1000XM5,Wireless noise-cancelling over-ear headphones,Headphones,349.00,"{""Type"": ""Over-ear"", ""Connectivity"": ""Bluetooth 5.2"", ""ANC"": ""Yes"", ""Battery"": ""30h""}"
Apple AirPods Pro 2,APPLE-APP2,True wireless earbuds with active noise cancellation,Headphones,279.00,"{""Type"": ""In-ear"", ""Connectivity"": ""Bluetooth 5.3"", ""ANC"": ""Yes"", ""Battery"": ""6h""}"
Bose QuietComfort 45,BOSE-QC45,Premium wireless over-ear headphones,Headphones,329.00,"{""Type"": ""Over-ear"", ""Connectivity"": ""Bluetooth 5.1"", ""ANC"": ""Yes"", ""Battery"": ""24h""}"
Jabra Evolve2 85,JABRA-EV285,Professional wireless headset with ANC,Headphones,449.00,"{""Type"": ""Over-ear"", ""Connectivity"": ""Bluetooth 5.0"", ""ANC"": ""Yes"", ""Battery"": ""37h"", ""Mic"": ""Yes""}"
Samsung Galaxy Buds2 Pro,SAM-GBP2,Premium true wireless earbuds,Headphones,229.00,"{""Type"": ""In-ear"", ""Connectivity"": ""Bluetooth 5.3"", ""ANC"": ""Yes"", ""Battery"": ""5h""}"
Sennheiser Momentum 4,SEN-MOM4,High-fidelity wireless over-ear headphones,Headphones,349.00,"{""Type"": ""Over-ear"", ""Connectivity"": ""Bluetooth 5.2"", ""ANC"": ""Yes"", ""Battery"": ""60h""}"
Sony WF-1000XM5,SONY-WF1000XM5,True wireless earbuds with industry-leading ANC,Headphones,299.00,"{""Type"": ""In-ear"", ""Connectivity"": ""Bluetooth 5.3"", ""ANC"": ""Yes"", ""Battery"": ""8h""}"
Bose QuietComfort Earbuds II,BOSE-QCE2,True wireless earbuds with CustomTune technology,Headphones,249.00,"{""Type"": ""In-ear"", ""Connectivity"": ""Bluetooth 5.3"", ""ANC"": ""Yes"", ""Battery"": ""6h""}"
Audio-Technica ATH-M50xBT2,AT-M50XBT2,Professional wireless studio headphones,Headphones,199.00,"{""Type"": ""Over-ear"", ""Connectivity"": ""Bluetooth 5.0"", ""ANC"": ""No"", ""Battery"": ""50h""}"
Apple AirPods 3rd Gen,APPLE-AP3,Spatial audio wireless earbuds,Headphones,179.00,"{""Type"": ""In-ear"", ""Connectivity"": ""Bluetooth 5.0"", ""ANC"": ""No"", ""Battery"": ""6h""}"
Anker Soundcore Q45,ANK-Q45,Budget wireless headphones with ANC,Headphones,79.99,"{""Type"": ""Over-ear"", ""Connectivity"": ""Bluetooth 5.3"", ""ANC"": ""Yes"", ""Battery"": ""50h""}"
Samsung Galaxy S24 Ultra,SAM-S24U,Flagship Android smartphone with S-Pen,Smartphones,1299.00,"{""CPU"": ""Snapdragon 8 Gen 3"", ""RAM"": ""12GB"", ""Storage"": ""256GB"", ""Display"": ""6.8 AMOLED"", ""Camera"": ""200MP""}"
Apple iPhone 15 Pro,APPLE-IP15P,Pro smartphone with titanium design,Smartphones,1199.00,"{""CPU"": ""Apple A17 Pro"", ""RAM"": ""8GB"", ""Storage"": ""256GB"", ""Display"": ""6.1 OLED"", ""Camera"": ""48MP""}"
Google Pixel 8 Pro,GOOG-PX8P,Google flagship with AI features,Smartphones,1099.00,"{""CPU"": ""Google Tensor G3"", ""RAM"": ""12GB"", ""Storage"": ""128GB"", ""Display"": ""6.7 OLED"", ""Camera"": ""50MP""}"
Xiaomi 14 Pro,XIAO-14P,Flagship smartphone with Leica camera,Smartphones,999.00,"{""CPU"": ""Snapdragon 8 Gen 3"", ""RAM"": ""12GB"", ""Storage"": ""256GB"", ""Display"": ""6.73 AMOLED"", ""Camera"": ""50MP Leica""}"
OnePlus 12,OP-12,Fast charging flagship smartphone,Smartphones,899.00,"{""CPU"": ""Snapdragon 8 Gen 3"", ""RAM"": ""12GB"", ""Storage"": ""256GB"", ""Display"": ""6.82 AMOLED 120Hz"", ""Camera"": ""50MP""}"
Samsung Galaxy S24,SAM-S24,Compact Android flagship,Smartphones,899.00,"{""CPU"": ""Snapdragon 8 Gen 3"", ""RAM"": ""8GB"", ""Storage"": ""128GB"", ""Display"": ""6.2 AMOLED"", ""Camera"": ""50MP""}"
Apple iPhone 15,APPLE-IP15,Standard iPhone with Dynamic Island,Smartphones,899.00,"{""CPU"": ""Apple A16"", ""RAM"": ""6GB"", ""Storage"": ""128GB"", ""Display"": ""6.1 OLED"", ""Camera"": ""48MP""}"
Xiaomi Redmi Note 13 Pro,XIAO-RN13P,Mid-range smartphone with 200MP camera,Smartphones,399.00,"{""CPU"": ""Snapdragon 7s Gen 2"", ""RAM"": ""8GB"", ""Storage"": ""256GB"", ""Display"": ""6.67 AMOLED"", ""Camera"": ""200MP""}"
Samsung Galaxy A54,SAM-A54,Mid-range smartphone with OLED display,Smartphones,449.00,"{""CPU"": ""Exynos 1380"", ""RAM"": ""8GB"", ""Storage"": ""128GB"", ""Display"": ""6.4 AMOLED"", ""Camera"": ""50MP""}"
Google Pixel 8a,GOOG-PX8A,Affordable Pixel with AI features,Smartphones,499.00,"{""CPU"": ""Google Tensor G3"", ""RAM"": ""8GB"", ""Storage"": ""128GB"", ""Display"": ""6.1 OLED"", ""Camera"": ""64MP""}"
Sony Xperia 1 V,SONY-XP1V,Pro-grade smartphone for creators,Smartphones,1299.00,"{""CPU"": ""Snapdragon 8 Gen 2"", ""RAM"": ""12GB"", ""Storage"": ""256GB"", ""Display"": ""6.5 4K OLED"", ""Camera"": ""52MP Zeiss""}"
Motorola Edge 40 Pro,MOTO-E40P,5G flagship with 125W charging,Smartphones,699.00,"{""CPU"": ""Snapdragon 8 Gen 2"", ""RAM"": ""12GB"", ""Storage"": ""256GB"", ""Display"": ""6.67 pOLED 165Hz"", ""Camera"": ""50MP""}"
Nothing Phone 2,NOTH-P2,Unique design smartphone with Glyph interface,Smartphones,599.00,"{""CPU"": ""Snapdragon 8+ Gen 1"", ""RAM"": ""12GB"", ""Storage"": ""256GB"", ""Display"": ""6.7 OLED"", ""Camera"": ""50MP""}"
Logitech MX Master 3S,LOG-MXM3S,Advanced wireless mouse for productivity,Peripherals,99.99,"{""Connectivity"": ""Bluetooth/USB"", ""DPI"": ""200-8000"", ""Battery"": ""70 days"", ""Buttons"": ""7""}"
Logitech MX Keys S,LOG-MXKS,Wireless keyboard with backlight,Peripherals,119.99,"{""Connectivity"": ""Bluetooth/USB"", ""Backlight"": ""Yes"", ""Battery"": ""10 days"", ""Layout"": ""Full size""}"
Razer DeathAdder V3,RAZ-DAV3,Ergonomic gaming mouse,Peripherals,79.99,"{""Connectivity"": ""USB"", ""DPI"": ""100-30000"", ""Sensor"": ""Optical"", ""Buttons"": ""6""}"
Corsair K70 RGB Pro,COR-K70RGB,Mechanical gaming keyboard,Peripherals,159.99,"{""Switch"": ""Cherry MX Red"", ""Backlight"": ""RGB"", ""Connectivity"": ""USB"", ""Layout"": ""Full size""}"
SteelSeries Arctis Nova Pro,SS-ANP,Premium gaming headset with ANC,Peripherals,349.99,"{""Connectivity"": ""USB/Bluetooth"", ""ANC"": ""Yes"", ""Battery"": ""22h"", ""Surround"": ""360 Spatial""}"
HyperX Cloud III,HX-CLD3,Comfortable gaming headset,Peripherals,99.99,"{""Connectivity"": ""USB/3.5mm"", ""ANC"": ""No"", ""Driver"": ""53mm"", ""Mic"": ""Yes""}"
Logitech G Pro X Superlight 2,LOG-GPX-SL2,Ultra-light wireless gaming mouse,Peripherals,159.99,"{""Connectivity"": ""USB wireless"", ""DPI"": ""100-32000"", ""Weight"": ""60g"", ""Battery"": ""95h""}"
Razer BlackWidow V4 Pro,RAZ-BWV4P,Wireless mechanical gaming keyboard,Peripherals,229.99,"{""Switch"": ""Razer Yellow"", ""Backlight"": ""RGB"", ""Connectivity"": ""USB/Wireless"", ""Layout"": ""Full size""}"
Corsair Scimitar Elite,COR-SCI-EL,MMO gaming mouse with 17 buttons,Peripherals,89.99,"{""Connectivity"": ""USB"", ""DPI"": ""100-26000"", ""Buttons"": ""17"", ""Sensor"": ""Optical""}"
Elgato Stream Deck MK.2,ELG-SDMK2,Customizable LCD key controller,Peripherals,149.99,"{""Keys"": ""15 LCD"", ""Connectivity"": ""USB"", ""Compatible"": ""Windows/Mac""}"
Wacom Intuos Pro M,WAC-ITP-M,Professional pen tablet,Peripherals,379.99,"{""Active Area"": ""224x148mm"", ""Connectivity"": ""USB/Bluetooth"", ""Pen"": ""8192 levels"", ""Buttons"": ""8""}"
Samsung 27 Odyssey G7,SAM-ODG7-27,Curved gaming monitor 27 inch,Monitors,649.00,"{""Size"": ""27"", ""Resolution"": ""2560x1440"", ""RefreshRate"": ""240Hz"", ""Panel"": ""VA"", ""Curved"": ""Yes""}"
LG UltraWide 34,LG-UW34,Ultrawide curved monitor 34 inch,Monitors,799.00,"{""Size"": ""34"", ""Resolution"": ""3440x1440"", ""RefreshRate"": ""160Hz"", ""Panel"": ""IPS"", ""Curved"": ""Yes""}"
Dell UltraSharp U2723D,DELL-U2723D,Professional 4K monitor 27 inch,Monitors,699.00,"{""Size"": ""27"", ""Resolution"": ""3840x2160"", ""RefreshRate"": ""60Hz"", ""Panel"": ""IPS""}"
BenQ PD3205U,BENQ-PD3205U,Designer 4K monitor 32 inch,Monitors,999.00,"{""Size"": ""32"", ""Resolution"": ""3840x2160"", ""RefreshRate"": ""60Hz"", ""Panel"": ""IPS"", ""USB-C"": ""Yes""}"
ASUS ROG Swift PG27AQN,ASUS-PG27AQN,Gaming monitor 27 inch 360Hz,Monitors,849.00,"{""Size"": ""27"", ""Resolution"": ""2560x1440"", ""RefreshRate"": ""360Hz"", ""Panel"": ""IPS"", ""HDR"": ""Yes""}"
LG 27GR95QE OLED,LG-27GR95QE,OLED gaming monitor 27 inch,Monitors,799.00,"{""Size"": ""27"", ""Resolution"": ""2560x1440"", ""RefreshRate"": ""240Hz"", ""Panel"": ""OLED""}"
Samsung Odyssey Neo G9,SAM-NEO-G9,Super ultrawide mini-LED gaming monitor,Monitors,1799.00,"{""Size"": ""49"", ""Resolution"": ""5120x1440"", ""RefreshRate"": ""240Hz"", ""Panel"": ""VA Mini-LED"", ""Curved"": ""Yes""}"
Acer Predator X34,ACER-PX34,Ultrawide curved gaming monitor,Monitors,999.00,"{""Size"": ""34"", ""Resolution"": ""3440x1440"", ""RefreshRate"": ""180Hz"", ""Panel"": ""IPS"", ""Curved"": ""Yes""}"
MSI MAG274QRF-QD,MSI-MAG274QRF,Quantum dot gaming monitor,Monitors,449.00,"{""Size"": ""27"", ""Resolution"": ""2560x1440"", ""RefreshRate"": ""165Hz"", ""Panel"": ""IPS QD""}"
ViewSonic VP2785-4K,VS-VP2785-4K,Professional color-accurate 4K monitor,Monitors,699.00,"{""Size"": ""27"", ""Resolution"": ""3840x2160"", ""RefreshRate"": ""60Hz"", ""Panel"": ""IPS"", ""ColorAccuracy"": ""Delta E < 2""}"
Sony PlayStation 5,SONY-PS5,Next-gen gaming console,Gaming,549.00,"{""CPU"": ""AMD Zen 2 8-core"", ""GPU"": ""AMD RDNA 2"", ""RAM"": ""16GB"", ""Storage"": ""825GB SSD"", ""Resolution"": ""4K""}"
Microsoft Xbox Series X,MS-XSX,Most powerful Xbox console,Gaming,549.00,"{""CPU"": ""AMD Zen 2 8-core"", ""GPU"": ""AMD RDNA 2 12TF"", ""RAM"": ""16GB"", ""Storage"": ""1TB SSD"", ""Resolution"": ""4K""}"
Nintendo Switch OLED,NIN-SW-OLED,Hybrid gaming console with OLED screen,Gaming,349.00,"{""Display"": ""7 OLED"", ""Storage"": ""64GB"", ""Battery"": ""4.5-9h"", ""Mode"": ""Handheld/TV""}"
Valve Steam Deck OLED,VALVE-SD-OLED,Portable PC gaming handheld,Gaming,549.00,"{""CPU"": ""AMD APU"", ""RAM"": ""16GB"", ""Storage"": ""512GB SSD"", ""Display"": ""7.4 OLED"", ""OS"": ""SteamOS""}"
Razer Kishi V2 Pro,RAZ-KV2P,Mobile gaming controller for Android,Gaming,149.99,"{""Connectivity"": ""USB-C"", ""Compatible"": ""Android"", ""Haptics"": ""Yes"", ""Passthrough"": ""Yes""}"
Xbox Wireless Controller,MS-XWC,Official Xbox wireless controller,Gaming,59.99,"{""Connectivity"": ""Bluetooth/USB"", ""Battery"": ""40h AA"", ""Compatible"": ""Xbox/PC/Mobile""}"
Sony DualSense Edge,SONY-DSE,Pro wireless controller for PS5,Gaming,199.99,"{""Connectivity"": ""Bluetooth/USB-C"", ""Battery"": ""12h"", ""Back Buttons"": ""Yes"", ""Trigger"": ""Adaptive""}"
Elgato 4K60 Pro MK.2,ELG-4K60P,Internal 4K capture card for streaming,Gaming,199.99,"{""Resolution"": ""4K60"", ""Interface"": ""PCIe"", ""HDR"": ""Yes"", ""Passthrough"": ""4K60""}"
Samsung 990 Pro 2TB,SAM-990P-2T,NVMe SSD Gen 4 high performance,Storage,189.00,"{""Interface"": ""NVMe PCIe 4.0"", ""Capacity"": ""2TB"", ""Read"": ""7450 MB/s"", ""Write"": ""6900 MB/s""}"
WD Black SN850X 1TB,WD-SN850X-1T,Gaming NVMe SSD,Storage,119.00,"{""Interface"": ""NVMe PCIe 4.0"", ""Capacity"": ""1TB"", ""Read"": ""7300 MB/s"", ""Write"": ""6300 MB/s""}"
Seagate IronWolf Pro 8TB,SEA-IWP-8T,NAS hard drive for servers,Storage,249.00,"{""Interface"": ""SATA"", ""Capacity"": ""8TB"", ""RPM"": ""7200"", ""Cache"": ""256MB"", ""Use"": ""NAS""}"
Samsung T7 Shield 2TB,SAM-T7S-2T,Rugged portable SSD,Storage,179.00,"{""Interface"": ""USB 3.2 Gen 2"", ""Capacity"": ""2TB"", ""Read"": ""1050 MB/s"", ""Rugged"": ""Yes""}"
Crucial MX500 1TB,CRU-MX500-1T,Reliable SATA SSD for desktop,Storage,79.99,"{""Interface"": ""SATA"", ""Capacity"": ""1TB"", ""Read"": ""560 MB/s"", ""Write"": ""510 MB/s""}"
SanDisk Extreme Pro 2TB,SAN-EXP-2T,High-speed portable SSD,Storage,199.00,"{""Interface"": ""USB 3.2 Gen 2x2"", ""Capacity"": ""2TB"", ""Read"": ""2000 MB/s"", ""Write"": ""2000 MB/s""}"
NVIDIA GeForce RTX 4080 Super,NV-4080S,High-end desktop GPU,Components,999.00,"{""VRAM"": ""16GB GDDR6X"", ""CUDA Cores"": ""10240"", ""TDP"": ""320W"", ""Outputs"": ""3x DP 1x HDMI""}"
AMD Radeon RX 7900 XTX,AMD-RX7900XTX,AMD flagship desktop GPU,Components,949.00,"{""VRAM"": ""24GB GDDR6"", ""Compute Units"": ""96"", ""TDP"": ""355W"", ""Outputs"": ""2x DP 1x HDMI 1x USB-C""}"
Intel Core i9-14900K,INT-I9-14900K,Flagship desktop processor,Components,549.00,"{""Cores"": ""24"", ""Threads"": ""32"", ""Base Clock"": ""3.2GHz"", ""Boost Clock"": ""6.0GHz"", ""TDP"": ""125W""}"
AMD Ryzen 9 7950X,AMD-R9-7950X,High-end desktop processor,Components,649.00,"{""Cores"": ""16"", ""Threads"": ""32"", ""Base Clock"": ""4.5GHz"", ""Boost Clock"": ""5.7GHz"", ""TDP"": ""170W""}"
Corsair Vengeance 32GB DDR5,COR-VEN-32-D5,High-speed DDR5 memory kit,Components,129.99,"{""Type"": ""DDR5"", ""Capacity"": ""32GB"", ""Speed"": ""5600MHz"", ""CAS"": ""36""}"
Noctua NH-D15,NOC-NHD15,Premium dual-tower CPU cooler,Components,99.99,"{""Type"": ""Air"", ""TDP"": ""250W"", ""Fans"": ""2x 140mm"", ""Height"": ""165mm""}"
ASUS ROG Crosshair X670E,ASUS-ROG-X670E,High-end AM5 gaming motherboard,Components,599.00,"{""Socket"": ""AM5"", ""Chipset"": ""X670E"", ""RAM Slots"": ""4 DDR5"", ""PCIe"": ""5.0"", ""WiFi"": ""6E""}"
Corsair RM1000x,COR-RM1000X,Fully modular 1000W PSU,Components,179.99,"{""Wattage"": ""1000W"", ""Efficiency"": ""80+ Gold"", ""Modular"": ""Yes"", ""Fan"": ""135mm""}"
Apple iPad Pro 13 M4,APPLE-IPP13-M4,Professional tablet with M4 chip,Tablets,1299.00,"{""CPU"": ""Apple M4"", ""RAM"": ""8GB"", ""Storage"": ""256GB"", ""Display"": ""13 OLED"", ""Connectivity"": ""WiFi 6E""}"
Samsung Galaxy Tab S9 Ultra,SAM-GTS9U,Large Android tablet for productivity,Tablets,1099.00,"{""CPU"": ""Snapdragon 8 Gen 2"", ""RAM"": ""12GB"", ""Storage"": ""256GB"", ""Display"": ""14.6 AMOLED"", ""SPen"": ""Yes""}"
Microsoft Surface Pro 9,MS-SP9,2-in-1 tablet and laptop,Tablets,1299.00,"{""CPU"": ""Intel i5-1235U"", ""RAM"": ""8GB"", ""Storage"": ""256GB SSD"", ""Display"": ""13 PixelSense"", ""OS"": ""Windows 11""}"
Lenovo Tab P12 Pro,LEN-TP12P,Premium Android tablet 12.6 inch,Tablets,699.00,"{""CPU"": ""Snapdragon 870"", ""RAM"": ""8GB"", ""Storage"": ""256GB"", ""Display"": ""12.6 AMOLED"", ""Pen"": ""Yes""}"
Apple iPad Air 5,APPLE-IPA5,Versatile tablet with M1 chip,Tablets,749.00,"{""CPU"": ""Apple M1"", ""RAM"": ""8GB"", ""Storage"": ""64GB"", ""Display"": ""10.9 Liquid Retina"", ""Connectivity"": ""WiFi 6""}"
Logitech StreamCam,LOG-STRC,Full HD webcam for streaming,Cameras,149.99,"{""Resolution"": ""1080p 60fps"", ""Connectivity"": ""USB-C"", ""Autofocus"": ""AI"", ""FOV"": ""78°""}"
Sony ZV-E10,SONY-ZVE10,Vlogging mirrorless camera,Cameras,748.00,"{""Sensor"": ""APS-C 24.2MP"", ""Video"": ""4K"", ""Mount"": ""Sony E"", ""Stabilization"": ""No""}"
Canon EOS R50,CAN-EOSR50,Compact mirrorless camera for beginners,Cameras,679.00,"{""Sensor"": ""APS-C 24.2MP"", ""Video"": ""4K"", ""Mount"": ""RF-S"", ""AF"": ""Dual Pixel""}"
DJI Osmo Pocket 3,DJI-OSP3,Compact 3-axis gimbal camera,Cameras,519.00,"{""Sensor"": ""1 inch 20MP"", ""Video"": ""4K 120fps"", ""Stabilization"": ""3-axis gimbal"", ""Display"": ""2 touch""}"
GoPro Hero 12 Black,GOPRO-H12B,Action camera with HyperSmooth 6.0,Cameras,399.99,"{""Resolution"": ""5.3K"", ""Stabilization"": ""HyperSmooth 6.0"", ""Waterproof"": ""10m"", ""Battery"": ""70min""}"
Elgato Facecam Pro,ELG-FCP,4K webcam for professionals,Cameras,299.99,"{""Resolution"": ""4K 60fps"", ""Connectivity"": ""USB-C"", ""Sensor"": ""Sony STARVIS"", ""FOV"": ""90°""}"
TP-Link Archer AX90,TP-AX90,Tri-band WiFi 6 router,Networking,299.99,"{""Standard"": ""WiFi 6"", ""Bands"": ""Tri-band"", ""Speed"": ""6600Mbps"", ""Ports"": ""4x Gigabit"", ""USB"": ""Yes""}"
Netgear Orbi RBK863S,NET-ORB-RBK863S,WiFi 6 mesh system 3-pack,Networking,699.00,"{""Standard"": ""WiFi 6"", ""Coverage"": ""7500 sq ft"", ""Bands"": ""Tri-band"", ""Speed"": ""6Gbps""}"
Ubiquiti UniFi Dream Machine Pro,UB-UDM-PRO,Enterprise network appliance,Networking,379.00,"{""Ports"": ""8x Gigabit + 2x 10G SFP+"", ""IDS/IPS"": ""Yes"", ""VPN"": ""Yes"", ""Throughput"": ""3.5Gbps""}"
ASUS ZenWiFi Pro ET12,ASUS-ZW-ET12,WiFi 6E mesh system,Networking,549.00,"{""Standard"": ""WiFi 6E"", ""Bands"": ""Tri-band"", ""Speed"": ""11000Mbps"", ""Coverage"": ""5400 sq ft""}"
Anker PowerCore 26800,ANK-PC26800,High capacity portable power bank,Accessories,79.99,"{""Capacity"": ""26800mAh"", ""Ports"": ""3x USB-A + 1x USB-C"", ""Output"": ""30W"", ""Weight"": ""480g""}"
Belkin MagSafe 3-in-1,BEL-MAG3IN1,Wireless charging stand for Apple devices,Accessories,149.99,"{""Compatible"": ""iPhone/AirPods/Watch"", ""Speed"": ""15W MagSafe"", ""Connectivity"": ""USB-C""}"
Satechi USB-C Hub 8-in-1,SAT-UCH8IN1,Multiport USB-C hub for laptops,Accessories,99.99,"{""Ports"": ""4K HDMI, 2x USB-A, USB-C PD, SD, MicroSD, Ethernet"", ""Connectivity"": ""USB-C""}"
CalDigit TS4 Thunderbolt 4,CAL-TS4,Premium Thunderbolt 4 dock,Accessories,399.99,"{""Ports"": ""18 ports"", ""Power Delivery"": ""98W"", ""Connectivity"": ""Thunderbolt 4"", ""Display"": ""2x 6K""}"
Apple MagSafe Charger,APPLE-MAGSAFE,Wireless MagSafe charger 15W,Accessories,39.00,"{""Speed"": ""15W"", ""Connectivity"": ""USB-C"", ""Compatible"": ""iPhone 12+""}"
